color, c, m, y, k, similar to Pantone
MOOTONE 463 M,24,42,91,75,Pantone 4485c
MOOTONE 464 M,19,35,90,55,Pantone 4495c
MOOTONE 465 M,16,27,83,42,Pantone 4505c
MOOTONE 466 M,13,19,62,28,Pantone 4515c
MOOTONE 467 M,9,12,47,18,Pantone 4525c
MOOTONE 468 M,6,8,35,12,Pantone 4535c
MOOTONE 469 M,5,6,30,4,Pantone 4545c
MOOTONE 470 M,23,38,89,70,Pantone 455c
MOOTONE 471 M,10,23,100,43,Pantone 456c
MOOTONE 472 M,9,24,100,32,Pantone 457c
MOOTONE 473 M,5,4,73,7,Pantone 458c
MOOTONE 474 M,5,3,64,4,Pantone 459c
MOOTONE 475 M,2,2,55,3,Pantone 460c
MOOTONE 476 M,2,1,45,2,Pantone 461c
MOOTONE 477 M,28,48,71,73,Pantone 462c
MOOTONE 478 M,14,54,95,62,Pantone 463c
MOOTONE 479 M,11,52,94,52,Pantone 464c
MOOTONE 480 M,9,29,66,24,Pantone 465c
MOOTONE 481 M,8,23,52,15,Pantone 466c
MOOTONE 482 M,6,15,41,10,Pantone 467c
MOOTONE 483 M,6,13,41,4,Pantone 468c
MOOTONE 484 M,30,72,74,80,Pantone 4625c
MOOTONE 485 M,12,58,81,42,Pantone 4635c
MOOTONE 486 M,11,46,64,30,Pantone 4645c
MOOTONE 487 M,8,41,51,20,Pantone 4655c
MOOTONE 488 M,5,30,38,12,Pantone 4665c
MOOTONE 489 M,5,20,28,6,Pantone 4675c
MOOTONE 490 M,2,15,23,5,Pantone 4685c
MOOTONE 491 M,24,79,100,73,Pantone 469c
MOOTONE 492 M,7,70,99,38,Pantone 470c
MOOTONE 493 M,5,71,100,23,Pantone 471c
MOOTONE 494 M,1,46,63,1,Pantone 472c
MOOTONE 495 M,0,20,35,6,Pantone 473c
MOOTONE 496 M,0,18,31,5,Pantone 474c
MOOTONE 497 M,0,15,26,5,Pantone 475c
MOOTONE 498 M,24,85,100,76,Pantone 4695c
MOOTONE 499 M,24,70,71,58,Pantone 4705c
MOOTONE 500 M,17,58,60,45,Pantone 4715c
MOOTONE 501 M,13,42,43,31,Pantone 4725c
MOOTONE 502 M,7,28,27,16,Pantone 4735c
MOOTONE 503 M,5,22,23,14,Pantone 4745c
MOOTONE 504 M,3,16,20,9,Pantone 4755c
MOOTONE 505 M,30,71,75,81,Pantone 476c
MOOTONE 506 M,23,75,78,69,Pantone 477c
MOOTONE 507 M,19,79,84,61,Pantone 478c
MOOTONE 508 M,14,48,52,26,Pantone 479c
